타임스탬프,효용성1,효용성2,효용성3,감정공감1,감정공감2,감정공감3,신뢰성1,신뢰성2,신뢰성3,신뢰성4,몰입감1,몰입감2,몰입감3,성별,나이,제작주체,서사성,그룹,장르선호,나이
35:45.4,7,6,6,6,6,6,5,4,5,5,6,5,5,여자,20,AI,비서사,AI_비서사,7,20
13:06.6,6,6,6,6,6,6,6,6,6,6,6,6,6,남자,23,AI,비서사,AI_비서사,6,23
16:12.0,5,5,2,5,5,4,6,6,6,5,5,6,6,여자,20,AI,비서사,AI_비서사,5,20
59:04.6,1,2,1,1,2,2,3,1,4,3,3,3,3,여자,만 21세,AI,비서사,AI_비서사,6,21
15:58.4,7,7,7,7,7,7,7,7,7,7,7,7,7,남자,20,인간,서사,인간_서사,7,20
23:54.5,5,5,4,5,5,4,5,4,2,4,4,6,3,여자,21,인간,서사,인간_서사,3,21
47:31.7,5,5,1,5,5,5,5,5,1,5,5,2,5,여자,21,인간,서사,인간_서사,5,21
56:15.1,2,3,2,4,1,2,5,5,5,6,5,4,2,여자,19세,인간,서사,인간_서사,2,19
16:50.8,4,4,3,4,4,5,5,3,4,3,4,3,3,여자,20,인간,서사,인간_서사,5,20
02:28.1,2,2,2,4,4,5,6,6,2,4,1,2,2,여자,20,인간,서사,인간_서사,2,20
13:52.9,5,6,4,7,7,7,7,7,6,7,6,6,6,여자,22,인간,서사,인간_서사,5,22
57:51.5,4,6,2,5,4,2,5,4,5,4,3,3,2,남자,23,인간,서사,인간_서사,1,23
11:58.9,6,6,4,7,7,7,7,7,5,7,6,6,5,여자,21,인간,서사,인간_서사,6,21
18:20.6,5,4,3,5,4,4,7,7,3,6,3,4,3,여자,21,인간,서사,인간_서사,1,21
51:19.1,6,7,6,7,7,7,7,7,7,7,7,7,7,여자,22,인간,서사,인간_서사,2,22
43:07.4,2,2,2,4,3,2,3,2,3,4,4,3,2,여자,만 20세,인간,서사,인간_서사,3,20
37:46.1,6,6,6,6,6,6,6,6,4,5,6,6,5,남자,23,인간,서사,인간_서사,6,23
51:35.5,4,4,3,5,5,5,5,5,4,5,4,5,4,여자,25,인간,서사,인간_서사,5,25
44:11.4,6,6,5,7,6,6,5,6,6,6,7,7,7,남자,20,인간,서사,인간_서사,7,20
58:05.5,7,7,7,7,7,7,5,5,5,5,6,6,4,남자,26,인간,서사,인간_서사,7,26
11:28.1,2,2,2,2,2,2,7,7,6,6,1,1,1,남자,26,인간,서사,인간_서사,1,26
10:58.4,6,6,6,6,6,6,6,6,6,6,6,6,6,남자,23,인간,서사,인간_서사,6,23
16:08.4,4,3,3,5,5,6,4,6,2,6,7,5,6,여자,20세,인간,서사,인간_서사,3,20
37:11.2,3,3,3,3,3,3,3,3,3,3,3,3,3,여자,20,인간,서사,인간_서사,3,20
00:11.6,5,5,4,6,6,6,5,5,5,5,6,6,6,여자,20,인간,서사,인간_서사,5,20
55:38.8,7,7,4,7,7,7,4,6,2,4,7,6,6,남자,22세,인간,서사,인간_서사,6,22
56:34.9,6,6,4,6,5,6,4,7,4,6,6,5,6,여자,20세 ,인간,서사,인간_서사,4,20
35:31.2,3,4,5,2,3,3,2,3,2,2,3,4,4,여자,22,인간,서사,인간_서사,2,22
